program_started : 1564060767229515 : 8546
circBuffer.txt not found!
Starting with clean buffers
client_device_connected : 1564060788567082 : 10.0.85.35 : sd = 3
Adding to list of sockets as 0
client_device_connected : 1564060788581861 : 10.0.85.38 : sd = 4
Adding to list of sockets as 1
client_device_connected : 1564060788587174 : 10.0.85.37 : sd = 6
Adding to list of sockets as 2
server_device_connected : 1564060798184284 : 10.0.85.35 : sd = 8
Adding to list of sockets as 3
sent_message : 1564060875518753 : 10.0.85.37 : sd = 6
sent_message : 1564060875742075 : 10.0.85.37 : sd = 6
sent_message : 1564060876115048 : 10.0.85.37 : sd = 6
sent_message : 1564060876582803 : 10.0.85.37 : sd = 6
sent_message : 1564060876799361 : 10.0.85.37 : sd = 6
sent_message : 1564060877231796 : 10.0.85.37 : sd = 6
sent_message : 1564060877733536 : 10.0.85.37 : sd = 6
sent_message : 1564060878429530 : 10.0.85.37 : sd = 6
sent_message : 1564060878770400 : 10.0.85.37 : sd = 6
sent_message : 1564060879169525 : 10.0.85.37 : sd = 6
sent_message : 1564060879554158 : 10.0.85.37 : sd = 6
sent_message : 1564060879803705 : 10.0.85.37 : sd = 6
sent_message : 1564060880086795 : 10.0.85.37 : sd = 6
sent_message : 1564060880814168 : 10.0.85.37 : sd = 6
sent_message : 1564060881599139 : 10.0.85.37 : sd = 6
sent_message : 1564060882514006 : 10.0.85.37 : sd = 6
received_rejected_message : 1564060857791427 : 10.0.85.37 : sd=6
received_rejected_message : 1564060882552194 : 10.0.85.37 : sd=6
received_rejected_message : 1564060904726301 : 10.0.85.37 : sd=6
received_accepted_message : 1564060913301000 : 10.0.85.35 : sd=8
received_rejected_message : 1564060913973257 : 10.0.85.37 : sd=6
generated_message : 1564060948783393
sent_message : 1564060957275381 : 10.0.85.38 : sd = 4
sent_message : 1564060977810400 : 10.0.85.37 : sd = 6
sent_message : 1564060978351642 : 10.0.85.37 : sd = 6
received_rejected_message : 1564060958800139 : 10.0.85.38 : sd=4
sent_message : 1564060995435136 : 10.0.85.35 : sd = 8
received_rejected_message : 1564060978404695 : 10.0.85.37 : sd=6
generated_message : 1564061017326263
sent_message : 1564061048713425 : 10.0.85.38 : sd = 4
sent_message : 1564061049133675 : 10.0.85.38 : sd = 4
sent_message : 1564061068797239 : 10.0.85.37 : sd = 6
received_accepted_message : 1564061052809225 : 10.0.85.37 : sd=6
sent_message : 1564061086540099 : 10.0.85.35 : sd = 8
sent_message : 1564061086990080 : 10.0.85.35 : sd = 8
received_rejected_message : 1564061078069437 : 10.0.85.35 : sd=8
generated_message : 1564061094077359
server_device_disconnected : 1564061110675914 : 10.0.85.38 : sd=4
sent_message : 1564061124577804 : 10.0.85.35 : sd = 3
sent_message : 1564061136562820 : 10.0.85.37 : sd = 6
server_device_connected : 1564061137330206 : 10.0.85.48 : sd = 7
Adding to list of sockets as 1
sent_message : 1564061193396629 : 10.0.85.48 : sd = 7
sent_message : 1564061193780302 : 10.0.85.48 : sd = 7
sent_message : 1564061194201536 : 10.0.85.48 : sd = 7
sent_message : 1564061194633120 : 10.0.85.48 : sd = 7
sent_message : 1564061195015491 : 10.0.85.48 : sd = 7
sent_message : 1564061195250170 : 10.0.85.48 : sd = 7
sent_message : 1564061195508485 : 10.0.85.48 : sd = 7
sent_message : 1564061195705074 : 10.0.85.48 : sd = 7
sent_message : 1564061195989613 : 10.0.85.48 : sd = 7
sent_message : 1564061196303684 : 10.0.85.48 : sd = 7
sent_message : 1564061196554574 : 10.0.85.48 : sd = 7
sent_message : 1564061196775248 : 10.0.85.48 : sd = 7
sent_message : 1564061197037910 : 10.0.85.48 : sd = 7
sent_message : 1564061197264778 : 10.0.85.48 : sd = 7
sent_message : 1564061197501202 : 10.0.85.48 : sd = 7
sent_message : 1564061197743973 : 10.0.85.48 : sd = 7
sent_message : 1564061198092825 : 10.0.85.48 : sd = 7
sent_message : 1564061198360304 : 10.0.85.48 : sd = 7
sent_message : 1564061198603271 : 10.0.85.48 : sd = 7
sent_message : 1564061198875965 : 10.0.85.48 : sd = 7
sent_message : 1564061199093422 : 10.0.85.48 : sd = 7
sent_message : 1564061199329349 : 10.0.85.48 : sd = 7
sent_message : 1564061199550023 : 10.0.85.48 : sd = 7
sent_message : 1564061199766822 : 10.0.85.48 : sd = 7
sent_message : 1564061200103434 : 10.0.85.48 : sd = 7
sent_message : 1564061200378990 : 10.0.85.48 : sd = 7
sent_message : 1564061200642328 : 10.0.85.48 : sd = 7
sent_message : 1564061200874437 : 10.0.85.48 : sd = 7
sent_message : 1564061201110050 : 10.0.85.48 : sd = 7
sent_message : 1564061201347676 : 10.0.85.48 : sd = 7
sent_message : 1564061201659764 : 10.0.85.48 : sd = 7
sent_message : 1564061202002717 : 10.0.85.48 : sd = 7
sent_message : 1564061202648866 : 10.0.85.48 : sd = 7
sent_message : 1564061203089776 : 10.0.85.48 : sd = 7
sent_message : 1564061203507282 : 10.0.85.48 : sd = 7
sent_message : 1564061203899180 : 10.0.85.48 : sd = 7
sent_message : 1564061204320024 : 10.0.85.48 : sd = 7
sent_message : 1564061204675456 : 10.0.85.48 : sd = 7
sent_message : 1564061205046310 : 10.0.85.48 : sd = 7
sent_message : 1564061205676283 : 10.0.85.48 : sd = 7
sent_message : 1564061206096768 : 10.0.85.48 : sd = 7
sent_message : 1564061206494095 : 10.0.85.48 : sd = 7
sent_message : 1564061206888393 : 10.0.85.48 : sd = 7
sent_message : 1564061207316527 : 10.0.85.48 : sd = 7
sent_message : 1564061207702221 : 10.0.85.48 : sd = 7
sent_message : 1564061208082366 : 10.0.85.48 : sd = 7
sent_message : 1564061208593280 : 10.0.85.48 : sd = 7
sent_message : 1564061209128347 : 10.0.85.48 : sd = 7
sent_message : 1564061209565498 : 10.0.85.48 : sd = 7
sent_message : 1564061210037348 : 10.0.85.48 : sd = 7
sent_message : 1564061210441974 : 10.0.85.48 : sd = 7
received_rejected_message : 1564061200529761 : 10.0.85.48 : sd=7
received_rejected_message : 1564061210458257 : 10.0.85.48 : sd=7
generated_message : 1564061214088254
received_rejected_message : 1564061210492768 : 10.0.85.48 : sd=7
received_accepted_message : 1564061242175836 : 10.0.85.35 : sd=3
received_rejected_message : 1564061242193097 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242195363 : 10.0.85.37 : sd=6
received_rejected_message : 1564061242197418 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242199269 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242200479 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242201935 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242203231 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242204729 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242205925 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242211405 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242212748 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242213956 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242215166 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242216362 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242217639 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242218851 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242220125 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242222640 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242223213 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242223657 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242224351 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242225070 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242225742 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242226455 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242227158 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242228155 : 10.0.85.48 : sd=7
received_rejected_message : 1564061242228927 : 10.0.85.48 : sd=7
